name,county,latitude,longitude,year,acres,structures
White Fire,Santa Barbara,34.9522,-120.2903,2015,52,
Potrero Fire,Ventura,34.15,-118.879444,2015,50,
Mendocino Lightning Fires,Mendocino,39.43301,-123.36316,2015,50,
Antelope Fire,Kern,0,0,2015,45,
Geary Fire,Alameda,0,0,2015,45,
FKU Lightning Fires,Fresno,0,0,2015,45,
Mason Fire ,Modoc,0,0,2015,43,
Highway Fire,Santa Clara,0,0,2015,42,
Center Fire,Lassen,40.400196,-120.553075,2015,40,
Sullivan Fire,Stanislaus,37.24523,-121.20324,2015,40,
Ascot Fire,Solano,38.1029,-122.1578,2015,40,
Chiles Fire,Napa,38.5287,-122.3415,2015,38,
Garage Fire,Napa,0,0,2015,36,
Browns Fire,Trinity,40,41.46,2015,35,
Ranch Fire,El Dorado,0,0,2015,35,
Covelo Fire,Mendocino,39.7806004,-123.248214,2015,35,
McCourtney Fire,Nevada,39.081,-121.194,2015,30,
Kramer Fire ,Lassen,41.12362,-121.194256,2015,30,
Francis Fire,Yuba,39.33303,-121.18735,2015,30,
Banister Fire,Ventura,0,0,2015,29,
Baxter Fire,Placer,38.9361,-121.1548,2015,26,
Park Fire,San Diego,32.682547,-116.51684,2015,25,
Betabel Fire,San Benito,36.8727,-121.5681,2015,25,
Lake Fire,San Diego,33.21407,-116.73472,2015,25,
Buckaroo Fire,El Dorado,0,0,2015,25,
Fox Fire,Mariposa,0,0,2015,25,
Oasis Fire,Lake,0,0,2015,25,
Snow Fire,Riverside,0,0,2015,25,
Dorris Fire,Siskiyou,41.999341,-121.891226,2015,24,
Soda Fire,Mendocino,39.0263,-123.303,2015,23,
Grade Fire,Lake,38.831478,-122.53428,2015,22,
Gibraltar Fire,Santa Barbara,34.4828,-119.63216,2015,21,
Spider Fire,Riverside,33.986204,-117.43942,2015,21,
Bald Fire,Humboldt,41.1513,-123.8292,2015,20,
Pleasure Fire,Napa,38.519132,-122.181878,2015,19,
Keswick Fire,Shasta,40.5953,-122.4397,2015,18,
Buck Fire,Humboldt,40.1093,-123.774,2015,16,
Mad River Complex,Trinity,0,0,2015,0,
Washington Fire,Alpine,38.598056,-119.751944,2015,0,
Soberanes Fire,Monterey,36.45994,-121.89938,2016,132127,
Erskine Fire,Kern,35.6115,-118.45628,2016,48019,
Chimney Fire,San Luis Obispo,35.70595,-120.98316,2016,46344,70
Blue Cut Fire,San Bernardino,34.30372,-117.49342,2016,36274,321
Gap Fire,Siskiyou,41.851,-123.118,2016,33867,
Rey Fire ,Santa Barbara,0,0,2016,32606,
Cedar Fire,Kern,35.7506,-118.5678,2016,29322,
Canyon Fire,Santa Barbara,34.63445,-120.54421,2016,12518,
Pilot Fire,San Bernardino,34.28771,-117.27338,2016,8110,
Border Fire,San Diego,32.60729,-116.63028,2016,7609,16
Sherpa Fire,Santa Barbara,34.776,-119.643,2016,7474,
Mineral Fire,Fresno,36.09974,-120.51057,2016,7050,2
Cold Fire,Yolo,38.52513,-122.06788,2016,5731,2
Trailhead Fire,El Dorado,38.96741,-120.9375,2016,5646,
Trailhead Fire,Placer,38.96741,-120.9375,2016,5646,
Owens River Fire,Inyo,37.75985,-118.95309,2016,5443,
San Gabriel Complex (Formerly Fish & Reservoir Fires),Los Angeles,0,0,2016,5399,
Marek Fire,Los Angeles,34.31,-118.335,2016,4824,
Loma Fire,Santa Clara,37.10632,-121.85318,2016,4474,28
Meadow Fire,Tulare,35.984,-118.551,2016,4347,
Clayton Fire,Lake,38.89741,-122.60664,2016,3929,300
Metz Fire,Monterey,36.38123,-121.20059,2016,3876,
Roberts Fire,San Luis Obispo,0,0,2016,3712,
Curry Fire,Fresno,36.0749,-120.452041,2016,2944,
Pony Fire,Siskiyou,41.623,-123.557,2016,2860,
Clark Fire,Mono,0,0,2016,2819,
Soup Complex,Modoc,41.2649,-120.3178,2016,2652,
Willard Fire,Lassen,40.3915,-120.7845,2016,2575,7
Coleman Fire,Monterey,36.01542,-121.25029,2016,2520,
Pine Fire,Ventura,34.701,-119.144,2016,2304,
Goose Fire,Fresno,37.01591,-119.50507,2016,2241,4
Sacata Fire,Fresno,36.94536,-119.25959,2016,2100,
Deer Fire,Kern,35.20993,-118.72272,2016,1785,
Sawmill Fire,Sonoma,38.80017,-122.82895,2016,1547,
Bogart Fire,Riverside,0,0,2016,1470,1
